id,userId,specialization
1,809,846
2,263,202
3,643,543
4,482,531
5,957,190
6,796,129
7,7,345
8,793,534
9,983,422
10,899,161
11,944,205
12,653,29
13,52,469
14,551,351
15,788,576
16,475,966
17,183,317
18,168,883
19,84,182
20,750,420
21,85,450
22,591,826
23,836,448
24,199,872
25,112,750
26,600,90
27,951,331
28,679,900
29,555,508
30,918,273
31,717,831
32,186,388
33,985,44
34,989,848
35,995,656
36,532,177
37,778,237
38,937,46
39,971,69
40,366,279
41,349,517
42,383,288
43,486,771
44,576,682
45,281,117
46,242,153
47,367,626
48,726,400
49,881,574
50,569,479
51,61,287
52,257,95
53,892,856
54,974,867
55,228,658
56,740,798
57,656,201
58,546,63
59,522,597
60,521,442
61,907,610
62,29,561
63,739,897
64,10,874
65,114,471
66,416,644
67,57,715
68,306,141
69,184,557
70,500,976
71,384,679
72,116,377
73,652,835
74,479,828
75,495,618
76,248,752
77,400,132
78,959,97
79,553,663
80,179,496
81,684,500
82,80,51
83,446,750
84,738,680
85,101,934
86,617,354
87,547,228
88,501,614
89,146,905
90,352,598
91,97,20
92,455,258
93,442,68
94,95,373
95,198,465
96,525,254
97,464,441
98,40,657
99,98,43
100,943,390
101,94,842
102,563,130
103,757,871
104,511,117
105,100,570
106,696,854
107,270,287
108,667,417
109,21,150
110,316,913
111,703,794
112,153,454
113,253,729
114,931,493
115,784,315
116,984,647
117,466,556
118,852,511
119,994,605
120,714,729
121,255,721
122,942,74
123,338,116
124,250,268
125,523,914
126,382,262
127,840,316
128,498,837
129,956,443
130,140,172
131,802,460
132,1,900
133,854,446
134,218,927
135,310,411
136,497,27
137,905,334
138,964,322
139,211,215
140,711,373
141,27,179
142,904,299
143,705,563
144,979,978
145,28,682
146,606,637
147,997,522
148,587,333
149,625,426
150,826,363
151,597,55
152,691,225
153,254,242
154,680,791
155,588,863
156,450,813
157,568,334
158,160,74
159,413,598
160,267,432
161,190,22
162,818,912
163,832,682
164,624,670
165,682,647
166,913,780
167,301,989
168,807,958
169,720,596
170,955,335
171,296,936
172,72,833
173,370,648
174,73,759
175,748,117
176,334,208
177,104,44
178,176,618
179,227,973
180,616,617
181,699,491
182,269,22
183,219,645
184,618,704
185,655,237
186,454,324
187,567,259
188,478,837
189,412,851
190,327,656
191,429,411
192,88,822
193,421,694
194,938,770
195,614,635
196,396,725
197,561,49
198,15,722
199,305,283
200,312,821
201,251,503
202,304,47
203,571,128
204,81,837
205,835,91
206,92,45
207,766,71
208,829,549
209,62,894
210,803,470
211,763,862
212,405,103
213,898,510
214,426,428
215,113,898
216,399,604
217,110,506
218,536,736
219,514,826
220,314,264
221,282,393
222,427,487
223,632,338
224,920,460
225,71,366
226,398,682
227,787,132
228,797,329
229,596,799
230,969,807
231,730,266
232,121,12
233,634,823
234,279,658
235,136,866
236,182,504
237,512,334
238,774,786
239,6,160
240,806,938
241,681,795
242,819,30
243,16,518
244,953,270
245,537,127
246,894,436
247,851,583
248,548,810
249,825,773
250,262,649
251,734,845
252,439,236
253,76,430
254,437,604
255,647,977
256,701,869
257,916,739
258,804,280
259,180,539
260,612,127
261,491,733
262,668,165
263,908,502
264,154,586
265,472,774
266,980,257
267,271,526
268,855,925
269,430,642
270,123,830
271,702,524
272,965,549
273,256,293
274,286,362
275,33,97
276,657,605
277,274,355
278,265,915
279,921,967
280,120,462
281,64,203
282,595,428
283,156,961
284,348,881
285,161,701
286,258,700
287,708,891
288,613,138
289,298,174
290,465,561
291,350,656
292,671,844
293,149,809
294,664,372
295,847,851
296,773,458
297,605,105
298,565,912
299,152,941
300,506,431
301,216,638
302,516,193
303,440,116
304,201,780
305,194,859
306,535,811
307,723,453
308,241,552
309,197,382
310,912,745
311,175,556
312,122,963
313,191,243
314,886,193
315,238,209
316,947,560
317,531,877
318,755,521
319,4,49
320,559,254
321,232,379
322,308,457
323,470,566
324,90,158
325,863,362
326,610,794
327,978,821
328,89,962
329,177,503
330,598,641
331,297,208
332,193,457
333,583,951
334,225,981
335,407,607
336,332,862
337,344,490
338,524,4
339,678,271
340,363,461
341,328,878
342,549,269
343,347,294
344,395,998
345,599,386
346,208,583
347,18,950
348,817,878
349,287,694
350,342,121
351,260,998
352,359,908
353,79,795
354,239,423
355,554,492
356,390,582
357,372,307
358,729,462
359,693,474
360,790,20
361,620,892
362,172,588
363,321,578
364,517,153
365,823,907
366,477,738
367,575,776
368,640,421
369,473,840
370,402,222
371,468,586
372,686,775
373,458,8
374,542,171
375,163,188
376,374,358
377,801,114
378,706,773
379,883,532
380,56,5
381,224,354
382,381,411
383,93,121
384,196,190
385,650,383
386,728,223
387,718,860
388,434,651
389,963,351
390,813,60
391,436,567
392,683,739
393,915,657
394,572,808
395,946,739
396,968,622
397,205,384
398,700,417
399,105,319
400,871,394
401,585,274
402,972,437
403,452,260
404,459,402
405,713,10
406,688,505
407,966,26
408,462,578
409,860,171
410,903,89
411,627,737
412,343,106
413,932,183
414,533,470
415,741,918
416,171,348
417,742,332
418,96,503
419,86,954
420,694,330
421,30,582
422,3,462
423,789,537
424,117,573
425,646,80
426,704,228
427,50,432
428,91,819
429,365,585
430,246,532
431,277,411
432,164,653
433,233,773
434,58,368
435,70,159
436,604,977
437,872,225
438,782,68
439,842,214
440,319,200
441,170,215
442,841,458
443,769,956
444,663,520
445,889,77
446,608,951
447,988,976
448,322,37
449,975,845
450,1000,242
451,900,238
452,159,445
453,689,735
454,901,515
455,526,127
456,710,701
457,51,804
458,315,365
459,492,724
460,11,354
461,530,909
462,637,14
463,499,138
464,441,778
465,619,491
466,715,394
467,939,429
468,544,396
469,949,427
470,846,263
471,961,915
472,849,901
473,14,653
474,221,771
475,670,81
476,23,592
477,622,472
478,373,557
479,584,679
480,816,458
481,792,133
482,379,324
483,420,318
484,673,444
485,593,111
486,579,522
487,461,802
488,834,258
489,874,383
490,394,626
491,648,543
492,150,692
493,662,556
494,192,678
495,409,45
496,866,534
497,63,905
498,798,607
499,397,265
500,550,941
501,749,468
502,24,12
503,967,563
504,934,854
505,244,381
506,351,634
507,336,7
508,929,494
509,564,684
510,580,601
511,108,835
512,137,387
513,249,725
514,20,146
515,977,592
516,962,570
517,528,847
518,432,327
519,888,493
520,869,847
521,926,239
522,570,813
523,309,627
524,727,634
525,868,818
526,746,609
527,99,197
528,207,985
529,933,323
530,411,898
531,601,684
532,142,569
533,756,10
534,925,284
535,346,197
536,361,420
537,586,244
538,484,197
539,230,401
540,449,21
541,35,292
542,8,963
543,83,955
544,48,773
545,839,509
546,217,469
547,864,788
548,148,291
549,780,501
550,736,628
551,474,899
552,288,177
553,481,877
554,417,483
555,602,27
556,185,439
557,603,875
558,897,342
559,877,632
560,759,624
561,820,616
562,483,892
563,716,362
564,724,497
565,445,25
566,36,433
567,376,449
568,283,918
569,200,776
570,463,841
571,811,494
572,49,484
573,545,707
574,428,436
575,906,952
576,75,141
577,339,144
578,578,86
579,128,807
580,362,438
581,485,972
582,556,887
583,505,874
584,539,596
585,767,568
586,147,541
587,259,272
588,725,406
589,765,588
590,844,887
591,928,480
592,954,690
593,210,803
594,129,896
595,237,183
596,358,911
597,236,139
598,799,152
599,375,321
600,355,620
601,378,562
602,753,393
603,74,887
604,9,914
605,418,454
606,480,862
607,986,417
608,935,624
609,325,497
610,135,384
611,865,946
612,13,405
613,341,141
614,638,926
615,827,404
616,508,301
617,410,109
618,448,985
619,794,150
620,831,74
621,252,511
622,53,522
623,2,625
624,268,216
625,752,902
626,38,217
627,771,890
628,936,763
629,433,983
630,712,229
631,775,405
632,333,549
633,392,875
634,311,316
635,127,561
636,476,64
637,781,625
638,451,19
639,132,190
640,911,125
641,534,773
642,884,876
643,386,690
644,669,877
645,125,288
646,235,444
647,948,589
648,848,521
649,574,729
650,425,502
651,659,34
652,800,61
653,353,355
654,518,773
655,447,857
656,592,749
657,496,390
658,158,742
659,891,292
660,404,710
661,43,134
662,633,91
663,621,607
664,692,435
665,124,453
666,812,497
667,471,640
668,502,89
669,467,231
670,303,767
671,111,356
672,675,597
673,882,125
674,733,904
675,945,362
676,169,836
677,294,118
678,815,501
679,231,115
680,174,749
681,895,646
682,115,985
683,636,74
684,284,148
685,902,49
686,264,336
687,993,47
688,552,533
689,126,880
690,833,199
691,119,736
692,824,984
693,837,374
694,641,672
695,65,174
696,151,142
697,387,856
698,220,551
699,737,335
