id,traineeId,trainerId,trainingTypeId,name,data,duration
1,389,760,916,Cuscutaceae,3/14/2023,5
2,948,705,297,Polygonaceae,10/12/2022,5
3,546,344,901,Onagraceae,2/23/2021,1
4,440,245,493,Malvaceae,1/15/2021,12
5,633,871,809,Rubiaceae,12/10/2021,11
6,60,522,897,Asteraceae,7/16/2022,1
7,87,646,229,Lycopodiaceae,11/14/2021,9
8,771,514,801,Onagraceae,10/29/2022,7
9,760,933,476,Physciaceae,8/1/2021,6
10,508,266,790,Fabaceae,3/16/2022,5
11,78,741,498,Apiaceae,6/11/2021,8
12,417,675,771,Poaceae,5/25/2021,1
13,107,897,519,Uncertain Ascomycota Family,12/13/2020,12
14,240,560,453,Fabaceae,6/13/2022,1
15,663,461,684,Crassulaceae,8/24/2023,2
16,981,398,824,Malvaceae,3/27/2023,2
17,108,834,337,Thuidiaceae,4/19/2022,4
18,204,813,2,Solanaceae,12/24/2022,11
19,626,185,702,Valerianaceae,10/20/2023,2
20,70,330,462,Amaranthaceae,6/30/2023,10
21,695,714,376,Liliaceae,4/2/2023,6
22,497,729,7,Gesneriaceae,4/18/2022,2
23,188,242,215,Cannabaceae,4/6/2021,5
24,881,273,226,Hydrophyllaceae,4/28/2022,7
25,656,868,187,Salicaceae,12/5/2021,11
26,963,322,468,Resedaceae,11/12/2020,3
27,890,218,394,Fabaceae,5/31/2023,2
28,805,590,718,Fabaceae,4/7/2022,4
29,21,397,862,Fabaceae,4/16/2021,11
30,50,406,789,Loranthaceae,5/17/2022,3
31,989,785,817,Asteraceae,10/17/2022,7
32,884,608,810,Araceae,7/26/2023,11
33,476,124,316,Fabaceae,3/10/2021,7
34,851,145,843,Cucurbitaceae,2/11/2022,8
35,345,247,567,Cyatheaceae,11/9/2020,6
36,770,588,13,Myrtaceae,12/31/2021,1
37,600,896,55,Cupressaceae,3/19/2023,2
38,352,744,817,Mniaceae,4/22/2022,1
39,229,645,210,Fabaceae,12/19/2021,12
40,540,388,724,Asteraceae,1/23/2023,6
41,731,742,225,Acarosporaceae,12/20/2020,6
42,348,431,266,Asteraceae,3/22/2022,11
43,811,63,953,Convolvulaceae,9/24/2021,10
44,62,849,715,Verrucariaceae,8/20/2022,7
45,702,306,632,Parmeliaceae,10/8/2023,4
46,301,850,514,Asteraceae,5/29/2023,8
47,68,8,819,Cucurbitaceae,8/20/2023,5
48,537,961,876,Cucurbitaceae,9/19/2021,12
49,364,190,890,Brassicaceae,10/22/2023,7
50,679,810,507,Apiaceae,7/1/2021,5
51,365,473,595,Arthopyreniaceae,6/8/2022,1
52,1,836,868,Betulaceae,9/17/2023,5
53,517,298,570,Onagraceae,6/18/2022,8
54,862,250,738,Orchidaceae,12/17/2022,7
55,371,387,439,Ramalinaceae,1/16/2022,12
56,471,273,707,Asteraceae,9/7/2022,12
57,769,701,153,Lycopodiaceae,4/14/2022,5
58,61,776,497,Valerianaceae,7/23/2023,4
59,768,159,736,Poaceae,2/6/2023,9
60,634,353,305,Pontederiaceae,6/28/2021,10
61,354,445,39,Cyperaceae,2/1/2023,3
62,925,544,285,Orchidaceae,7/16/2022,4
63,942,912,819,Sterculiaceae,9/18/2021,12
64,231,443,610,Polygalaceae,6/19/2023,10
65,945,496,171,Brassicaceae,8/24/2023,5
