id,name
1,Human Resources Manager
2,Social Worker
3,General Manager
4,Professor
5,Research Assistant I
6,Associate Professor
7,Analyst Programmer
8,Senior Quality Engineer
9,Marketing Assistant
10,VP Quality Control
11,Human Resources Manager
12,Senior Quality Engineer
13,Research Nurse
14,Analog Circuit Design manager
15,Design Engineer
16,Desktop Support Technician
17,Analyst Programmer
18,Accounting Assistant III
19,Compensation Analyst
20,Safety Technician IV
21,VP Marketing
22,Social Worker
23,Software Engineer III
24,Senior Financial Analyst
25,Civil Engineer
26,Desktop Support Technician
27,Research Assistant I
28,Account Representative II
29,Account Coordinator
30,Statistician III
31,Product Engineer
32,Assistant Media Planner
33,Health Coach II
34,Graphic Designer
35,Actuary
36,Software Test Engineer IV
37,Dental Hygienist
38,Electrical Engineer
39,Executive Secretary
40,Web Developer II
41,Structural Engineer
42,Programmer Analyst III
43,Systems Administrator IV
44,Budget/Accounting Analyst III
45,Administrative Assistant III
46,Programmer Analyst I
47,Staff Accountant IV
48,Automation Specialist III
49,Senior Quality Engineer
50,General Manager
51,Registered Nurse
52,Technical Writer
53,Accounting Assistant II
54,Computer Systems Analyst I
55,Accountant II
56,Editor
57,Physical Therapy Assistant
58,Software Test Engineer II
59,Speech Pathologist
60,Tax Accountant
61,Food Chemist
62,Internal Auditor
63,Food Chemist
64,Internal Auditor
65,Biostatistician III
66,Geological Engineer
67,Project Manager
68,Administrative Assistant IV
69,Financial Advisor
70,Staff Scientist
71,Marketing Manager
72,Assistant Media Planner
73,Web Developer III
74,Director of Sales
75,Paralegal
76,Structural Engineer
77,Software Consultant
78,General Manager
79,Structural Engineer
80,Business Systems Development Analyst
81,Sales Representative
82,Account Representative I
83,Account Executive
84,Chief Design Engineer
85,Desktop Support Technician
86,Computer Systems Analyst I
87,Budget/Accounting Analyst IV
88,Accountant I
89,Mechanical Systems Engineer
90,Physical Therapy Assistant
91,Budget/Accounting Analyst IV
92,Librarian
93,VP Sales
94,Assistant Media Planner
95,Quality Control Specialist
96,Social Worker
97,Nurse Practicioner
98,Senior Sales Associate
99,Safety Technician II
100,Web Designer IV
101,Developer II
102,Design Engineer
103,Research Nurse
104,Help Desk Operator
105,Programmer Analyst II
106,Automation Specialist III
107,Geologist IV
108,Media Manager IV
109,Chief Design Engineer
110,Technical Writer
111,Administrative Officer
112,Assistant Manager
113,Budget/Accounting Analyst I
114,Nurse Practicioner
115,Civil Engineer
116,Staff Scientist
117,Nuclear Power Engineer
118,Systems Administrator III
119,Statistician I
120,Quality Engineer
121,Pharmacist
122,Safety Technician IV
123,Graphic Designer
124,Nurse
125,Senior Cost Accountant
